station, usgs darea, est_barea, barea_rel_err, latitude, longitude, Basin Avg HSRH (km), Basin Mode HSRH (km),Basin Percentage of HSRH lt 1km,Basin Percentage of HSRH lt 2km
01010000,3473.174100,3417.000000,1.617371,46.700556,-69.715556,1.643449,1.760000,0.029257,90.140433
01010070,442.888000,256.000000,42.197576,46.893889,-69.751667,1.907237,2.040000,0.000000,64.591440
01010500,6941.168100,7021.000000,1.150122,47.113056,-69.088056,1.649672,1.760000,0.227855,89.789234
01011000,3828.002400,3140.000000,17.972883,47.069722,-69.079444,0.914136,1.010000,60.967845,100.000000
01013500,2261.059600,2366.000000,4.641205,47.237500,-68.582778,0.833152,0.940000,81.411069,100.000000
01015800,2310.269400,2241.000000,2.998326,46.523056,-68.371667,0.314929,0.130000,99.955397,100.000000
01017000,4283.840300,4154.000000,3.030932,46.777222,-68.157222,0.375560,0.410000,99.975933,100.000000
01017550,9.893800,10.000000,1.073400,46.628056,-67.953056,0.155455,0.190000,100.000000,100.000000
01017960,227.919000,241.000000,5.739320,46.105000,-67.881389,0.239091,0.220000,100.000000,100.000000
01018000,453.247900,570.000000,25.758994,46.105000,-67.866667,0.422715,0.220000,96.147110,96.147110
01018035,665.626900,737.000000,10.722689,46.181111,-67.803889,0.387453,0.220000,97.018970,97.018970
01018500,1069.665100,1178.000000,10.127927,45.568333,-67.428333,0.215971,0.220000,100.000000,100.000000
01019000,587.927300,616.000000,4.774859,45.172500,-67.768889,0.525916,0.530000,100.000000,100.000000
01021000,3558.643700,3842.000000,7.962480,45.136944,-67.318056,0.412123,0.530000,100.000000,100.000000
01021200,240.609900,248.000000,3.071403,44.901389,-67.247500,0.935100,0.820000,49.799197,100.000000
01021230,84.692600,47.000000,44.505187,44.886674,-67.266669,1.361875,1.350000,0.000000,97.916667
01021452,48.691800,51.000000,4.740429,44.870858,-67.941113,0.985192,1.010000,55.769231,100.000000
01021470,20.176000,21.000000,4.084060,44.800833,-67.725000,1.308636,1.310000,0.000000,100.000000
01021480,75.368700,61.000000,19.064545,44.936944,-67.736111,0.947581,1.050000,43.548387,100.000000
01021500,1186.214600,1270.000000,7.063258,44.723056,-67.520556,0.996255,0.780000,43.351692,100.000000
01022210,57.756700,42.000000,27.281164,44.782500,-67.923056,1.291395,1.300000,0.000000,100.000000
01022220,66.044700,46.000000,30.350202,44.768637,-67.923057,1.292128,1.300000,0.000000,100.000000
01022260,156.953300,172.000000,9.586737,44.697778,-67.787222,1.341618,1.310000,0.000000,100.000000
01022330,249.933900,252.000000,0.826659,44.740833,-68.013333,1.071660,0.990000,57.707510,100.000000
01022500,587.927300,582.000000,1.008169,44.608056,-67.935278,1.286861,1.570000,25.042882,100.000000
01022800,4.014500,4.000000,0.361191,44.398350,-68.287502,1.568000,1.520000,0.000000,100.000000
01022840,3.496500,3.000000,14.199914,44.332778,-68.206667,1.445000,1.380000,0.000000,100.000000
01027200,600.877200,617.000000,2.683210,45.935278,-69.993611,1.546214,1.420000,0.000000,100.000000
01029200,448.067900,482.000000,7.572982,46.143056,-68.633611,0.261118,0.380000,99.585921,100.000000
01029500,2167.820000,2827.000000,30.407506,45.730278,-68.589444,0.446612,0.380000,92.920354,100.000000
01030000,8047.093100,8897.000000,10.561664,45.566133,-68.403611,0.767543,0.470000,71.888002,98.909254
01030500,3672.603100,3656.000000,0.452080,45.501111,-68.305833,0.226860,0.220000,99.890591,100.000000
01031300,305.618600,293.000000,4.128872,45.267222,-69.583889,1.242891,1.260000,9.523810,100.000000
01031450,247.084900,245.000000,0.843799,45.184444,-69.452222,1.064837,1.160000,25.609756,100.000000
01031500,771.816500,795.000000,3.003758,45.175000,-69.314722,1.219246,1.190000,11.432161,100.000000
01033000,844.336100,828.000000,1.934786,45.270026,-69.111667,1.157358,1.220000,22.074789,100.000000
01034000,3009.566200,3052.000000,1.409964,45.260556,-68.868611,1.057619,1.030000,39.829676,100.000000
01034500,16632.903600,17561.000000,5.579882,45.236111,-68.651389,0.688553,0.220000,75.062657,99.447482
01036390,19463.760600,20367.000000,4.640621,44.826406,-68.696391,0.734180,0.220000,70.233769,99.523622
01037380,37.295800,38.000000,1.888148,44.329167,-69.060833,0.600000,0.510000,100.000000,100.000000
01038000,375.548300,359.000000,4.406437,44.222778,-69.593889,0.357444,0.300000,100.000000,100.000000
01042500,4118.081100,3168.000000,23.070966,45.339722,-69.961944,1.060448,1.020000,40.656566,99.558081
01044550,499.867700,511.000000,2.227049,45.313611,-70.241667,1.159180,1.100000,18.554688,100.000000
01046500,7031.817700,3861.000000,45.092433,45.051944,-69.885556,1.040653,1.020000,46.024346,99.637400
01047000,914.265800,915.000000,0.080305,44.869167,-69.955000,0.652525,0.690000,97.049180,97.704918
01048000,1336.433900,1342.000000,0.416489,44.708056,-69.937500,0.385216,0.250000,96.795827,99.925484
01049000,1481.473200,1439.000000,2.866957,44.716667,-69.413889,1.006056,1.030000,42.847222,100.000000
01049130,7.562800,7.000000,7.441688,44.498069,-69.486111,0.497500,0.490000,100.000000,100.000000
01049205,13413.548400,10687.000000,20.326824,44.530556,-69.646668,0.792513,0.750000,72.129153,99.663079
01049265,13993.705800,10748.000000,23.194041,44.472222,-69.683889,0.789760,0.750000,72.287363,99.664992
01049373,84.692600,85.000000,0.362960,44.306672,-69.970835,0.263488,0.260000,100.000000,100.000000
01049500,562.027400,601.000000,6.934288,44.229167,-69.778056,0.293588,0.310000,100.000000,100.000000
01049550,61.382700,53.000000,13.656454,44.266113,-69.697779,0.298148,0.310000,100.000000,100.000000
01052500,393.678200,382.000000,2.966433,44.877500,-71.057500,0.580157,0.670000,100.000000,100.000000
01053500,2709.127600,2712.000000,0.106027,44.782500,-71.128611,0.574722,0.430000,95.466273,100.000000
01054000,3524.973800,3577.000000,1.475932,44.435833,-71.190278,0.539128,0.430000,94.941308,99.972051
01054200,180.263200,170.000000,5.693453,44.390556,-70.979722,0.981294,1.120000,30.588235,100.000000
01054300,336.698500,322.000000,4.365478,44.593333,-70.733056,0.502313,0.410000,82.500000,100.000000
01054500,5356.095400,5347.000000,0.169814,44.551944,-70.544167,0.577036,0.160000,84.185872,99.981263
01055000,250.969800,248.000000,1.183330,44.642778,-70.588889,0.555425,0.200000,76.113360,100.000000
01055220,215.228000,210.000000,2.429052,44.317795,-70.122223,0.238246,0.250000,100.000000,100.000000
01055500,437.708000,447.000000,2.122876,44.269444,-70.229722,0.373281,0.250000,95.535714,100.000000
01056400,20.745800,19.000000,8.415197,44.176694,-70.276390,0.405500,0.250000,100.000000,100.000000
01056480,4.869200,4.000000,17.850982,44.155835,-70.261945,0.276000,0.280000,100.000000,100.000000
01056505,47.396800,53.000000,11.821895,44.142229,-70.225556,0.377037,0.250000,100.000000,100.000000
01057000,190.364100,197.000000,3.485899,44.303889,-70.539722,0.537475,0.100000,77.777778,100.000000
01059000,8451.131200,8494.000000,0.507255,44.072222,-70.208056,0.498044,0.250000,87.582547,99.988208
01059800,35.741800,33.000000,7.671130,43.917789,-70.316391,0.258529,0.260000,100.000000,100.000000
01060000,365.188300,383.000000,4.877402,43.798915,-70.178057,0.630130,0.310000,87.239583,87.239583
01063100,388.498200,341.000000,12.226106,43.978898,-70.563611,0.356316,0.220000,100.000000,100.000000
01063310,2.097900,2.000000,4.666571,43.855556,-70.639722,0.290000,0.290000,100.000000,100.000000
01063452,1.346800,1.000000,25.749926,43.763066,-70.524723,0.250000,0.240000,100.000000,100.000000
01064118,1494.423100,1494.000000,0.028312,43.686950,-70.346946,0.350428,0.290000,98.260870,100.000000
01064300,28.230900,27.000000,4.360116,44.218889,-71.249722,1.137143,1.510000,25.000000,100.000000
01064400,12.121100,12.000000,0.999084,44.070278,-71.173333,0.575385,0.120000,61.538462,100.000000
01064500,997.145400,981.000000,1.619162,43.990833,-71.090556,0.787686,0.220000,49.541284,100.000000
01064801,175.083200,167.000000,4.616776,43.830000,-71.288333,0.481369,0.440000,85.714286,100.000000
01065500,1170.674600,1157.000000,1.168096,43.807521,-70.797501,0.350753,0.220000,89.090909,100.000000
01066000,3348.854600,3348.000000,0.025519,43.808056,-70.781667,0.492127,0.250000,77.236016,100.000000
01067851,3.315200,3.000000,9.507722,43.533341,-70.483889,0.332500,0.340000,100.000000,100.000000
