"USGS_NHD_ComID","NWS_8_CHAR_lid","A_H_P","USGS","Hydrolog_Unit_Code","RFC","FORECAST_GROUP","NWS_HSA","T _Y_P","FI_P_ST","ST_AB","NW_S_ST","A_T_V","R_E_F","H_D_N","DRAINAGE_AREA_MI2","NWS LAT_dd_mm_ss","NWS_LONG_ ddd_mm_ss","USGS_LAT_DEG","USGS_LONG_DEG","C_A_C","COORD","ALTITUDE_FT","ALT _ACY","DATUM","GOES_IDENTIFR","N_1_0","N_1_1","NWS_LOC_NAME","USGS_LOC_NAME","Area_km2","area_below_1000km2","DRAINAGE_AREA_KM2"
17543537,"EBRI4","Y","05452000","07080208","NCRFC","CIW","DMX","ST","19","IA","I4","Y","N",NA,201,"41 57 51","92 18 47",41.96416188,-92.3132418,"F","NAD83","781.58","0.01","NGVD29","CE634A36","Y","Y","SALT CREEK NEAR ELBERON IA","Salt Creek near Elberon  IA","520.58799","520.58799",520.58799
2354812,"COSM5","Y","05278500","07010205","NCRFC","RDW","MPX","ST","27","MN","M5","N",NA,NA,211,NA,NA,44.93551759,-94.6752713,"S","NAD83","1079.09","0.01","NGVD29",NA,"N","N","Cosmos 1E","SOUTH FORK CROW RIVER AT COSMOS  MN","546.48789","546.48789",546.48789
6950486,"PRAI4",NA,"05421682","07080102","NCRFC","TIA","DVN","ST","19","IA","I4","Y","N",NA,189,"42 11 45.0","91 25 22.0",42.1958333,-91.4227778,"1","NAD83","828.48","0.01","NGVD29","16293060","Y","Y","BUFFALO CREEK SOUTH OF PRAIRIEBURG IA","Buffalo Creek South of Prairieburg  IA","489.50811","489.50811",489.50811
4947221,"GLLM5",NA,"05247000",NA,"NCRFC","RDW","DLH",NA,NA,"MN","M5","N",NA,NA,110.811,NA,NA,46.4111,-94.3533,NA,NA,"0",NA,NA,NA,"N","N","Gull Lake Dam (Brainerd 9NW)",NA,"286.9993819","286.9993819",286.99938189
11915379,"OXFI4",NA,"05454220","07080209","NCRFC","CIW","DVN","ST","19","IA","I4","Y","N",NA,58.4,"41 43 06","91 44 24",41.7183455,-91.7401737,"S","NAD83","696.5","0.01","NGVD29","DD6D5698","Y","Y","CLEAR CREEK NEAR OXFORD IA","Clear Creek near Oxford  IA","151.255416","151.255416",151.255416
13096606,"THOW3",NA,"05365707","07050006","NCRFC","CHP","ARX","ST","55","WI","W3","N",NA,NA,51,NA,NA,44.97357826,-90.849304,"S","NAD83","1115","5","NGVD29",NA,"N","N","Thorp 3NW","NORTH FORK EAU CLAIRE RIVER NEAR THORP  WI","132.08949","132.08949",132.08948999999998
11916061,"NEPI4","Y","05455270",NA,"NCRFC","CIW","DVN",NA,NA,"IA","I4","N",NA,NA,116.603,NA,NA,41.5267,-91.9875,NA,NA,"0",NA,NA,NA,"N","N","North English 4E (Near Parnell)",NA,"302.000604","302.000604",302.00060397
14784677,"DSPI2","Y","05529000","07120004","NCRFC","KDF","LOT","ST","17","IL","I2","Y","N",NA,360,"42  5 14","87 53 14",42.0872222,-87.8872222,"S","NAD83","616.31","0.01","NGVD29","17F0F17A","Y","Y","DES PLAINES RIVER NEAR DES PLAINES IL","DES PLAINES RIVER NEAR DES PLAINES  IL","932.3964","932.3964",932.3964
2442482,"RCSM5","Y","05372800","07040004","NCRFC","FFH","ARX","ST","27","MN","M5","N",NA,NA,155,NA,NA,44.0071859,-92.4721211,"S","NAD83",NA,NA,NA,NA,"N","N","Rochester - US Hwy 14","S FORK ZUMBRO R ON BELT LINE AT ROCHESTER  MN","401.44845","401.44845",401.44845
14836121,"PINI2",NA,"05556500","07130001","NCRFC","ILO","DVN","ST","17","IL","I2","Y","Y","Y",196,"41 22 02","89 29 52",41.3672222,-89.4977778,"S","NAD83","555.39","0.01","NGVD29","CE148662","Y","Y","BIG BUREAU CREEK AT PRINCETON IL","BIG BUREAU CREEK AT PRINCETON  IL","507.63804","507.63804",507.63803999999993
2355278,"GLNM5","Y","05278930","07010205","NCRFC","RDW","MPX","ST","27","MN","M5","N",NA,NA,373,NA,NA,44.76385099,-94.0910849,"S","NAD83",NA,NA,NA,NA,"N","N","Glencoe","BUFFALO CREEK NEAR GLENCOE  MN","966.06627","966.06627",966.0662699999999
15679445,"CDRI3","Y","04180000","04100003","OHRFC","SMAU","IWX","ST","18","IN","I3","Y","N",NA,270,"41 13 08","85  4 35",41.218938,-85.0763589,"S","NAD83","779.67","0.02","NAVD88","DD8F808E","Y","Y","CEDAR CREEK NEAR CEDARVILLE IN","CEDAR CREEK NEAR CEDARVILLE  IN","699.2973","699.2973",699.2973
6829663,"REPM4",NA,"04062300","04030107","NCRFC","MEN","MQT","ST","26","MI","M4","N",NA,NA,240,NA,NA,46.38410625,-87.9801345,"M","NAD83","1480","10","NGVD29",NA,"N","N","Republic","MICHIGAMME RIVER AT REPUBLIC  MI","621.5976","621.5976",621.59759999999994
